"b","sb","prior"
"274",3.55,3.55,"MCP"
"275",3.6,3.6,"MCP"
"276",3.65,3.65,"MCP"
"277",3.7,3.7,"MCP"
"278",3.75,3.75,"MCP"
"279",3.8,3.8,"MCP"
"280",3.85,3.85,"MCP"
"281",3.9,3.9,"MCP"
"282",3.95,3.95,"MCP"
"283",4,4,"MCP"
"284",4.05,4.05,"MCP"
"285",4.1,4.1,"MCP"
"286",4.15,4.15,"MCP"
"287",4.2,4.2,"MCP"
"288",4.25,4.25,"MCP"
"289",4.3,4.3,"MCP"
"290",4.35,4.35,"MCP"
"291",4.4,4.4,"MCP"
"292",4.45,4.45,"MCP"
"293",4.5,4.5,"MCP"
"294",4.55,4.55,"MCP"
"295",4.6,4.6,"MCP"
"296",4.65,4.65,"MCP"
"297",4.7,4.7,"MCP"
"298",4.75,4.75,"MCP"
"299",4.8,4.8,"MCP"
"300",4.85,4.85,"MCP"
"301",4.9,4.9,"MCP"
"302",4.95,4.95,"MCP"
"303",5,5,"MCP"
"304",0,0,"SOFT"
"305",0.05,0,"SOFT"
"306",0.1,0,"SOFT"
"307",0.15,0,"SOFT"
"308",0.2,0,"SOFT"
"309",0.25,0.0435377503236701,"SOFT"
"310",0.3,0.0935377503236701,"SOFT"
"311",0.35,0.14353775032367,"SOFT"
"312",0.4,0.19353775032367,"SOFT"
"313",0.45,0.24353775032367,"SOFT"
"314",0.5,0.29353775032367,"SOFT"
"315",0.55,0.34353775032367,"SOFT"
"316",0.6,0.39353775032367,"SOFT"
"317",0.65,0.44353775032367,"SOFT"
"318",0.7,0.49353775032367,"SOFT"
"319",0.75,0.54353775032367,"SOFT"
"320",0.8,0.59353775032367,"SOFT"
"321",0.85,0.64353775032367,"SOFT"
"322",0.9,0.69353775032367,"SOFT"
"323",0.95,0.74353775032367,"SOFT"
"324",1,0.79353775032367,"SOFT"
"325",1.05,0.84353775032367,"SOFT"
"326",1.1,0.89353775032367,"SOFT"
"327",1.15,0.94353775032367,"SOFT"
"328",1.2,0.99353775032367,"SOFT"
"329",1.25,1.04353775032367,"SOFT"
"330",1.3,1.09353775032367,"SOFT"
"331",1.35,1.14353775032367,"SOFT"
"332",1.4,1.19353775032367,"SOFT"
"333",1.45,1.24353775032367,"SOFT"
"334",1.5,1.29353775032367,"SOFT"
"335",1.55,1.34353775032367,"SOFT"
"336",1.6,1.39353775032367,"SOFT"
"337",1.65,1.44353775032367,"SOFT"
"338",1.7,1.49353775032367,"SOFT"
"339",1.75,1.54353775032367,"SOFT"
"340",1.8,1.59353775032367,"SOFT"
"341",1.85,1.64353775032367,"SOFT"
"342",1.9,1.69353775032367,"SOFT"
"343",1.95,1.74353775032367,"SOFT"
"344",2,1.79353775032367,"SOFT"
"345",2.05,1.84353775032367,"SOFT"
"346",2.1,1.89353775032367,"SOFT"
"347",2.15,1.94353775032367,"SOFT"
"348",2.2,1.99353775032367,"SOFT"
"349",2.25,2.04353775032367,"SOFT"
"350",2.3,2.09353775032367,"SOFT"
"351",2.35,2.14353775032367,"SOFT"
"352",2.4,2.19353775032367,"SOFT"
"353",2.45,2.24353775032367,"SOFT"
"354",2.5,2.29353775032367,"SOFT"
"355",2.55,2.34353775032367,"SOFT"
"356",2.6,2.39353775032367,"SOFT"
"357",2.65,2.44353775032367,"SOFT"
"358",2.7,2.49353775032367,"SOFT"
"359",2.75,2.54353775032367,"SOFT"
"360",2.8,2.59353775032367,"SOFT"
"361",2.85,2.64353775032367,"SOFT"
"362",2.9,2.69353775032367,"SOFT"
"363",2.95,2.74353775032367,"SOFT"
"364",3,2.79353775032367,"SOFT"
"365",3.05,2.84353775032367,"SOFT"
"366",3.1,2.89353775032367,"SOFT"
"367",3.15,2.94353775032367,"SOFT"
"368",3.2,2.99353775032367,"SOFT"
"369",3.25,3.04353775032367,"SOFT"
"370",3.3,3.09353775032367,"SOFT"
"371",3.35,3.14353775032367,"SOFT"
"372",3.4,3.19353775032367,"SOFT"
