"b","sb","prior"
"263",12,0,"MCP"
"264",12.2,0,"MCP"
"265",12.4,0,"MCP"
"266",12.6,0,"MCP"
"267",12.8,0,"MCP"
"268",13,0,"MCP"
"269",13.2,0,"MCP"
"270",13.4,0,"MCP"
"271",13.6,0,"MCP"
"272",13.8,0,"MCP"
"273",14,0,"MCP"
"274",14.2,0,"MCP"
"275",14.4,0,"MCP"
"276",14.6,0,"MCP"
"277",14.8,0,"MCP"
"278",15,0,"MCP"
"279",15.2,0,"MCP"
"280",15.4,0,"MCP"
"281",15.6,0,"MCP"
"282",15.8,0,"MCP"
"283",16,0,"MCP"
"284",16.2,0,"MCP"
"285",16.4,0,"MCP"
"286",16.6,0,"MCP"
"287",16.8,0,"MCP"
"288",17,0,"MCP"
"289",17.2,0,"MCP"
"290",17.4,0,"MCP"
"291",17.6,0.194443016827021,"MCP"
"292",17.8,0.468517090901094,"MCP"
"293",18,0.742591164975167,"MCP"
"294",18.2,1.01666523904924,"MCP"
"295",18.4,1.29073931312332,"MCP"
"296",18.6,1.56481338719739,"MCP"
"297",18.8,1.83888746127146,"MCP"
"298",19,2.11296153534554,"MCP"
"299",19.2,2.38703560941961,"MCP"
"300",19.4,2.66110968349368,"MCP"
"301",19.6,2.93518375756776,"MCP"
"302",19.8,3.20925783164183,"MCP"
"303",20,3.48333190571591,"MCP"
"304",0,0,"SOFT"
"305",0.2,0,"SOFT"
"306",0.4,0,"SOFT"
"307",0.6,0,"SOFT"
"308",0.8,0,"SOFT"
"309",1,0,"SOFT"
"310",1.2,0,"SOFT"
"311",1.4,0,"SOFT"
"312",1.6,0,"SOFT"
"313",1.8,0,"SOFT"
"314",2,0,"SOFT"
"315",2.2,0,"SOFT"
"316",2.4,0,"SOFT"
"317",2.6,0,"SOFT"
"318",2.8,0,"SOFT"
"319",3,0,"SOFT"
"320",3.2,0,"SOFT"
"321",3.4,0,"SOFT"
"322",3.6,0,"SOFT"
"323",3.8,0,"SOFT"
"324",4,0,"SOFT"
"325",4.2,0,"SOFT"
"326",4.4,0,"SOFT"
"327",4.6,0,"SOFT"
"328",4.8,0,"SOFT"
"329",5,0,"SOFT"
"330",5.2,0,"SOFT"
"331",5.4,0,"SOFT"
"332",5.6,0,"SOFT"
"333",5.8,0,"SOFT"
"334",6,0,"SOFT"
"335",6.2,0,"SOFT"
"336",6.4,0,"SOFT"
"337",6.6,0,"SOFT"
"338",6.8,0,"SOFT"
"339",7,0,"SOFT"
"340",7.2,0,"SOFT"
"341",7.4,0,"SOFT"
"342",7.6,0,"SOFT"
"343",7.8,0,"SOFT"
"344",8,0,"SOFT"
"345",8.2,0,"SOFT"
"346",8.4,0,"SOFT"
"347",8.6,0,"SOFT"
"348",8.8,0,"SOFT"
"349",9,0,"SOFT"
"350",9.2,0,"SOFT"
"351",9.4,0,"SOFT"
"352",9.6,0,"SOFT"
"353",9.8,0.0843548156373828,"SOFT"
"354",10,0.284354815637382,"SOFT"
"355",10.2,0.484354815637381,"SOFT"
"356",10.4,0.684354815637382,"SOFT"
"357",10.6,0.884354815637383,"SOFT"
"358",10.8,1.08435481563738,"SOFT"
"359",11,1.28435481563738,"SOFT"
"360",11.2,1.48435481563738,"SOFT"
"361",11.4,1.68435481563738,"SOFT"
"362",11.6,1.88435481563738,"SOFT"
"363",11.8,2.08435481563738,"SOFT"
"364",12,2.28435481563738,"SOFT"
"365",12.2,2.48435481563738,"SOFT"
"366",12.4,2.68435481563738,"SOFT"
"367",12.6,2.88435481563738,"SOFT"
"368",12.8,3.08435481563738,"SOFT"
"369",13,3.28435481563738,"SOFT"
"370",13.2,3.48435481563738,"SOFT"
"371",13.4,3.68435481563738,"SOFT"
"372",13.6,3.88435481563738,"SOFT"
"373",13.8,4.08435481563738,"SOFT"
"374",14,4.28435481563738,"SOFT"
"375",14.2,4.48435481563738,"SOFT"
"376",14.4,4.68435481563738,"SOFT"
"377",14.6,4.88435481563738,"SOFT"
"378",14.8,5.08435481563738,"SOFT"
"379",15,5.28435481563738,"SOFT"
"380",15.2,5.48435481563738,"SOFT"
"381",15.4,5.68435481563738,"SOFT"
"382",15.6,5.88435481563738,"SOFT"
"383",15.8,6.08435481563738,"SOFT"
"384",16,6.28435481563738,"SOFT"
"385",16.2,6.48435481563738,"SOFT"
"386",16.4,6.68435481563738,"SOFT"
"387",16.6,6.88435481563738,"SOFT"
"388",16.8,7.08435481563738,"SOFT"
"389",17,7.28435481563738,"SOFT"
"390",17.2,7.48435481563738,"SOFT"
"391",17.4,7.68435481563738,"SOFT"
"392",17.6,7.88435481563738,"SOFT"
"393",17.8,8.08435481563738,"SOFT"
"394",18,8.28435481563738,"SOFT"
"395",18.2,8.48435481563738,"SOFT"
"396",18.4,8.68435481563738,"SOFT"
"397",18.6,8.88435481563738,"SOFT"
"398",18.8,9.08435481563738,"SOFT"
"399",19,9.28435481563738,"SOFT"
"400",19.2,9.48435481563738,"SOFT"
"401",19.4,9.68435481563738,"SOFT"
"402",19.6,9.88435481563738,"SOFT"
"403",19.8,10.0843548156374,"SOFT"
"404",20,10.2843548156374,"SOFT"
"405",0,0,"HARD"
"406",0.2,0.2,"HARD"
"407",0.4,0.4,"HARD"
"408",0.6,0.6,"HARD"
"409",0.8,0.8,"HARD"
"410",1,1,"HARD"
"411",1.2,1.2,"HARD"
"412",1.4,1.4,"HARD"
"413",1.6,1.6,"HARD"
"414",1.8,1.8,"HARD"
"415",2,2,"HARD"
"416",2.2,2.2,"HARD"
"417",2.4,2.4,"HARD"
"418",2.6,2.6,"HARD"
"419",2.8,2.8,"HARD"
"420",3,3,"HARD"
"421",3.2,3.2,"HARD"
"422",3.4,3.4,"HARD"
"423",3.6,3.6,"HARD"
"424",3.8,3.8,"HARD"
"425",4,4,"HARD"
"426",4.2,4.2,"HARD"
"427",4.4,4.4,"HARD"
"428",4.6,4.6,"HARD"
"429",4.8,4.8,"HARD"
"430",5,5,"HARD"
"431",5.2,5.2,"HARD"
"432",5.4,5.4,"HARD"
"433",5.6,5.6,"HARD"
"434",5.8,5.8,"HARD"
"435",6,6,"HARD"
